No,FirmName,Address,Tel,Fax,Web
100,"HEERIM ARCHITECTS & PLANNERS CO., LTD.","39, Sangil-ro 6-gil, Gangdong-gu, Seoul",(02)3410-9114,(02)3410-9098,www.heerim.com
99,HILL KOREA CM,"76-1, Bangullae-ro, Mapo-gu, Seoul",(02)333-2983,(02)333-2996,www.hillkoreacmc.com
98,HIRAM CM,"504, IT Future Tower, 33, Digital-ro 9-gil, Geumcheon-gu, Seoul",(02)2027-6360,(02)2027-6362,www.zioncst.co.kr
97,"HKCMC CO., LTD.","4F, Hanwha Biz metro 1-cha, 242, Digital-ro, Guro-gu, Seoul",(02)517-0500,(02)3478-0768,www.hkcmc.co.kr/
96,"HUDIGM ARCHITECTS & ENGINEERS CO., LTD.","Gangdong Green Tower, 1139, Cheonho-daero, Gangdong-gu, Seoul",(02)6717-6000,(02)6717-6417,www.hudigm.co.kr
95,"HUMAN ARCHIPIA CO., LTD.","6F, Human B/D, 470, Baekjegobun-ro, Songpa-gu, Seoul",(02)412-1118,(02)420-2519,www.humanarchipia.co.kr
94,HUMAN TEC ENG,"3F, 1171, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do",(031)751-6882,(031)751-6862,www.humanteceng.co.kr/index2.php
93,"HWASUNG INDUSTRIAL CO., LTD.","111, Dongdaegu-ro, Suseong-gu, Daegu",(053)767-2111,(053)768-9318,www.hwasung.com
92,HYEIN ENGINEERING & CONSTRUCTION,"24F, Urimblueninebusiness Center A-dong, 583, Yangcheon-ro, Gangseo-gu, Seoul",(02)2093-2200,(02)2093-2205,www.hyein.com
91,HYEWON KACI ARCHITECTS & ASSOCIATES,"Hyewon B/D, 117, Seocho-daero 19-gil, Seocho-gu, Seoul",(02)591-0071,(02)591-8350,www.hwarchi.com
90,HYUNDAI DEVELOPMENT COMPANY,"55, Hangang-daero 23-gil, Yongsan-gu, Seoul",(02)2008-9102,(02)565-4980,www.hyundai-dvp.com
89,"HYUNDAI ENGINEERING & CONSTRUCTION CO., LTD.","Hyundai B/D, 75, Yulgok-ro, Jongno-gu, Seoul",(02)746-2116,(02)746-2120,www.hdec.co.kr
88,"HYUNDAI Architects & Engineers Associates Co., LTD","4F Hyundai B/D, 75, Yulgok-ro, Jongno-gu, Seoul",(02)746-6500,(02)746-6600,www.hda.co.kr
87,ILSIN ARCHITECTS ASSOCIATES,"ILSIN B/D, 3-2, Jungang-daero 320beon-gil, Dong-gu, Busan",(051)462-4711,(051)462-4738,www.ilshinarch.co.kr
86,"ILWOO ENGINEERING ARCHITECTS CO., LTD.","7-1, Seoocheungseoktap 1-gil, Nam-gu, Gwangju",(062)233-7151,(062)233-7153,
85,ISAN CORPORATION,"Dong-a plaza, 121, Burim-ro, Dongan-gu, Anyang-si, Gyeonggi-do",(031)389-0114,(031)382-6069,www.nwks.co.kr
84,"ITM CORPORATION CO., LTD.","747, Seolleung-ro, Gangnam-gu, Seoul",(02)2140-5300,(02)3443-8136,www.itmpro.co.kr
83,ITMBROS CM,"614, Nonhyeon-ro, Gangnam-gu, Seoul",(02)515-8850,(02)3453-8850,www.itmbroscm.com
82,JE-IN ARCHITECTS & ENGINEERS,"152, Seosa-ro, Jeju-si, Jeju-do",(064)725-2231,(064)725-2230,
81,JEONIN CM INC.,"610, Teheran-ro, Gangnam-gu, Seoul",(02)552-0025,(02)552-9393,www.cmproji.com
80,JINSIM,"1202, Sejong B/D, 18, Beobwon-ro, Yeonje-gu, Busan",(051)507-2772,(051)507-2776,
79,"JISAN ARCHITECTURE & ENGINEERING CO., LTD","18, Gwangok-ro 64beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do",(031)280-6067,(031)280-6097,www.jisaneng.co.kr
78,JKCM,"2007, KoreaBusiness Center, 309, Gangnam-daero, Seocho-gu, Seoul",(02)584-4531,(02)584-4533,www.jkcm.co.kr
77,"JUNGLIM ARCHITECTURE CO., LTD.","214, Yulgok-ro, Jongno-gu, Seoul",(02)708-8649,(02)2039-6421,www.junglim.com
76,Jungwoon E&C,"30, Taepyeong-ro 108beon-gil, Uijeongbu-si, Gyeonggi-do",031-855-2016,031-855-2019,
75,KCMC,"8F, MG B/D, 89, Seongsui-ro, Seongdong-gu, Seoul",(02)518-4374,(02)518-4311,www.kcmc.co.kr
74,KD ARCHITECTURE & ENG,"8F, 3-10, Gumi-ro 9beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do",(031)717-4860,(031)717-4862,www.kdeng.co.kr
73,KEANGNAM ENTERPRISE,"168, Hwangmul-ro, Dongdaemun-gu, Seoul",(02)2210-0500,(02)2210-0199,www.kne.co.kr
72,KEUMSUNG DESIGN GROUOP,"4F, Pieosn B/D, 46, Saemunan-ro, Jongno-gu, Seoul",(02)720-2646,(02)737-9199,www.ksde.co.kr
71,KIM JAEYOUNG Certified Public Appraiser,"5F, Geum Bok B/D, 10, Beobwon-ro 16beon-gil, Yeonje-gu, Busan",(051)861-2772,(051)861-3825,
70,KIM MYUNGSIK Law Firm,"402, Sunyoung B/D, 260, Seocho-daero, Seocho-gu, Seoul",(02)3477-9966,(02)3477-9975,lawking.or.kr/
69,KOREA CONSTRUCTION MANAGEMENT CORP.,"262, Gangnam-daero, Gangnam-gu, Seoul",(02)3440-8800,(02)3440-8929,www.korcm.co.kr
68,KOREA ENGINEERING CONSULTANTS CORP.,"50, Gangbyeonnyeok-ro, Gwangjin-gu, Seoul",(02)2049-5114,(02)32049-5100,www.kecc.co.kr
67,KOREA POWER ENGINEERING COMPANY INC.,"2354, Yonggu-daero, Giheung-gu, Yongin-si, Gyeonggi-do",(031)289-3114,(031)283-6215,www.kopec.co.kr
66,KOREA CONSTRUCTION MANAGEMENT,"CM B/D, 128, Wiryeseong-daero, Songpa-gu, Seoul",(02)420-5388,(02)420-5368,www.k-cm.co.kr
65,"KUKDONG ENGINEERING & CONSTRUCTION CO., LTD.","173, Toegye-ro, Jung-gu, Seoul",(02)2273-1141,(02)2272-1295,www.kukdong.co.kr
64,KUMHO E&C,"76, Saemunan-ro, Jongno-gu, Seoul",(02)6303-0114,(02)6303-0735,www.kumhoenc.com
63,"KUMKWANG ENGINEERING & CONSTRUCTION CO., LTD.","Songwon B/D, 186, Geumnam-ro, Dong-gu, Gwangju",(062)239-8110,(062)224-5111,www.gumgwang.co.kr
62,KUNIL ENGINEERING,"5, Sanggong-ro 46beon-gil, Nam-gu, Pohang-si, Gyeongsangbuk-do",(054)284-0195,(054)284-0196,www.kunileng.co.kr
61,KUN-JUNG ARCHITECTS & ENGINEERS ASSOCIATES,"Kunjung B/D, 37, Seolleung-ro 112-gil, Gangnam-gu, Seoul",(02)514-0025,(02)512-4664,www.kunjung.com
60,"KUNWON ENGINEERING CO., LTD.","16F, B dong, 167, Songpa-daero, Songpa-gu, Seoul",(02)3458-2800,(02)556-3523,www.kunwoneng.com
59,KWANG JANG Architects & Consultants,"7F, SJ Tower, 3, Jukjeon-ro, Giheung-gu, Yongin-si, Gyeonggi-do",(031)898-3535,(031)898-3533,
58,"KYUNGJIN CO., LTD.","4F, Yichang B/D, 97, Hyoryeong-ro, Seocho-gu, Seoul",(02)573-7212,(02)573-7213,www.arch2000.com
57,LOTTE ENGINEERING & CONSTRUCTION,"29, Jamwon-ro 14-gil, Seocho-gu, Seoul",(02)3480-9002,(02)535-9155,www.lottecon.co.kr
56,MAP HANTER IN Architects,"19, Baumoe-ro 18-gil, Seocho-gu, Seoul",(02)520-9300,(02)520-9390,www.ymeng.co.kr
55,MOKYANG ARCHITECTURE & ENGINEERING,"282, Hagui-ro, Dongan-gu, Anyang-si, Gyeonggi-do",070-7733-6634,(031)463-3084,www.mkeng.net
54,MOOYOUNG CM,"411, Yanghyeon-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do",(02)2188-3100,(02)555-6657,www.mooyoungcm.com
53,MYOUNGIN CM,"86-10, Seonsuchon-ro, Haeundae-gu, Busan",(051)806-7650,(051)806-7651,
52,"MYUNGKWANG ENGINEERING CO., LTD.","9, Goyangsicheong-ro, Deogyang-gu, Goyang-si, Gyeonggi-do",(031)272-2376,(031)264-2378,www.mkeng.net
51,NEXTAUS CM,"11F, 127, Beobwon-ro, Songpa-gu, Seoul, Korea",(02)569-0047,(02)3474-9580,www.nextaus.com/
50,NOW DONGIN ARCHITECTS,"54, Maeheon-ro, Seocho-gu, Seoul",(02)518-7855,(02)518-7843,www.nowarch.com
49,"OSUN Engineering Co., Ltd.","43, Yangsan-ro, Yeongdeungpo-gu, Seoul",(02)2164-8200,(02)2164-8204,www.osuneng.co.kr
48,"POSCO ENGINEERING & CONSTRUCTION CO., LTD.","180, Daesong-ro, Nam-gu, Pohang-si, Gyeongsangbuk-do",(031)370-9822,(031)370-9829,www.poscoenc.com
47,POSCO A&C,"Postower B/D, 577, Seolleung-ro, Gangnam-gu, Seoul",(02)2018-7736,(02)2018-7799,www.posac.co.kr
46,Pyunghwa Engineering Consultants Ltd.,"194, Munhwa-ro, Naju-si, Jeollanam-do",(031)420-7212,(031)420-7239,www.pec.kr
45,WSP ASIA Ltd. Korea Branch (ARCHITECT COMPANY),"3F, Eunsung B/D, 741, Yeongdong-daero, Gangnam-gu, Seoul",(02)2017-5600,(02)545-1932,www.wsp-pb.com/ko-KR/1/
44,Roitechone Inc.,"RN 202, 272, Digital-ro, Guro-gu, Seoul",02-890-0770,02-830-6583,www.roit.co.kr
43,"SAENOO Architects & Engineering Co., Ltd","25, Seomyeon-ro, Busanjin-gu, Busan",051-818-7411,051-818-7414,www.saenoo.co.kr
42,SAMAN CORPORATION,"Union B/D, 5, Byeoryangsangga 3-ro, Gwacheon-si, Gyeonggi-do",(02)3424-2887,(02)3424-5000,www.samaneng.com
41,SAMOOCM ARCHITECTS & ENGINEERS,"10F, Apple Tower, 69, Baekjegobun-ro, Songpa-gu, Seoul",(02)3400-3114,(02)3400-3915,www.samoocm.com
40,SAMSUNG ENGINEERING & CONSTRUCTION,"14, Seocho-daero 74-gil, Seocho-gu, Seoul",(02)2145-5114,(02)2145-6394,www.secc.co.kr
39,"SAMSUNG ENGINEERING CO., LTD","Samsung GEC, 26, Sangil-ro 6-gil, Gangdong-gu, Seoul",(02)2053-3000,(02)2053-3339,www.samsungengineering.co.kr
38,SAMWHAN CORP.,"82, Yulgok-ro, Jongno-gu, Seoul",(02)740-2210,(02)744-0607,www.samwhan.co.kr
37,"SANGAH MANAGEMENT CONSULTING CO., LTD.","New Seoul B/D, 41, Teheran-ro 8-gil, Gangnam-gu, Seoul",(02)3415-2222,(02)3415-2199,www.sangah.com
36,"SANGJI ENVIRONMENT & ARCHITECTS, INC.","5F, Shindonga B/D, 42, Jagalchi-ro, Jung-gu, Busan",(051)248-3033,(051)242-7687,www.sangji21c.co.kr
35,SEHONG CORPORATION,"16, Tapsil-ro 58beon-gil, Giheung-gu, Yongin-si, Gyeonggi-do",1670-1610,(031)522-0591,www.sehong.net
34,SEON ARCHITECTS & ENGINEERS GROUP,"Seon B/D, 91, Sajikdae-ro 361beon-gil, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",(043)256-4370,(043)257-1314,www.seon.co.kr
33,"SEORIN ARCHITECTS & ENGINEERING CO., LTD.","5, Taepyeong-ro 51-gil, Jung-gu, Daegu, Korea",(053)742-7585,(053)742-7586,www.seorin.com
32,"SEOUL DATA SYSTEM Co., LTD.","3F, 59, Deungchon-ro, Gangseo-gu, Seoul",02-2649-9345,02-2643-6105,www.esds.co.kr
31,"SEOYEONG ENGINEERING CO., LTD.","25, Hwangsaeeul-ro 258beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do",(02)6915-7000,(02)6915-7007,www.seoyeong.co.kr
30,"SHINHAN ARCHITECTS & ENGINEERS CO., LTD.","168, Jungdae-ro, Songpa-gu, Seoul",(02)405-8114,(02)405-8100,www.shinhana.com
29,"SHINHWA ENGINEERING & ARCHITECTS CO., LTD.","1659, Dongseo-daero, Dong-gu, Daejeon",(042)670-3114,(042)670-3113,www.sh-eng.co.kr
28,"SHINSUNG ENGINEERING & CONSTRUCTION CO., LTD.","10F, 61, Digital-ro 26-gil, Guro-gu, Seoul, Seoul",(02)3459-2000,(02)3459-2080,www.sscorp.co.kr
27,SHINSUNG ARCHITECTS,"4F, Sinyeong B/D, 3, Jangje-ro 75beon-gil, Bupyeong-gu, Incheon",(032)507-6443,(032)507-6442,
26,"SHINSUNG ARCHITECTS&ENGINEERS ASSOCIATES CO., LTD","40, 2sunhwan-ro 1261beon-gil, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",(043)237-8105,(043)237-8107,www.shinsungac.com
25,SINSONG CONSULTING,"213-17, Saechang-ro, Yongsan-gu, Seoul",(02)795-7317,(02)794-1297,www.green-m.com
24,"SK ENGINEERING & CONSTRUCTION CO., LTD.","32, Insadong 7-gil, Jongno-gu, Seoul",(02)3700-9120,(02)3700-8360,www.skec.co.kr
23,SOOSUNG ENGINEERING,"49, Manan-ro, Manan-gu, Anyang-si, Gyeonggi-do",(02)2142-9017,(02)424-2065,www.soosungeng.com
22,"SUHAN ARCHITECTS & ENGINEERS ASSOCIATES CO., LTD","7F, KOFST, 22, Teheran-ro 7-gil, Gangnam-gu, Seoul",(02)2191-9100,(02)562-4325,www.suhhan.com
21,"Sun Architects & Engineers Co., Ltd.","39, Wollang-ro, Jeju-si, Jeju-do",064-733-3220,064-732-7327,www.suning.co.kr
20,SUNGIL CONSTRUCTION,"Sungil B/D, 10, Nambusunhwan-ro 378-gil, Gangnam-gu, Seoul",(02)578-3131,(02)578-0549,www.sungilcon.co.kr
19,SUNJIN ENGINEERING & ARCHITECTURE,"Sunjin B/D, 19, Yeongdeungpo-ro 3-gil, Yeongdeungpo-gu, Seoul",(02)6333-3000,(02)6332-3000,www.sunjin.co.kr
18,Woongsik Shin Attorney,"8F, 100, Toegye-ro, Jung-gu, Seoul",02-316-4701,02-756-6226,www.shinkim.com
17,"TCMC ARCHITECTS & ENGINEERS CO., LTD.","Taeyoung B/D, 141, Munhwa-ro, Namdong-gu, Incheon",032)424-1115,(032)435-1115,www.itcmc.co.kr
16,"TOCOMA CO., LTD.","1015, Hanshin B/D, 12, Mapo-daero, Mapo-gu, Seoul",(02)3273-4343,(02)3273-2055,www.tocoma.com
15,TOMOON ARCHITECTS & ENGINERRS,"10F, Garden5works D-dong, 52, Chungmin-ro, Songpa-gu, Seoul",(02)515-5001,(02)515-5004,www.tomoon.co.kr
14,TOPEC ENGINEERING & CONSULTING,"6F, KT&G B/D, 33, Yeonbuk-ro, Jeju-si, Jeju-do",070-7609-4007,(064)711-9901,www.topec.co.kr
13,URBAN BROS Development & PM,"25, Uisadang-daero 1-gil, Yeongdeungpo-gu, Seoul",(02)548-2491,(02)548-2493,urbanbros.com
12,USUN ENGINEERING ARCHITECTS,"4F, WONGYEONG B/D, 422, Bongeunsa-ro, Gangnam-gu, Seoul",(02)2189-5800,(02)2189-5899,www.usun.co.kr
11,U-TOP ENGINEERING & CONSTRUCTION,"21-5, Jachisaem-ro, Hwasun-eup, Hwasun-gun, Jeollanam-do",(062)228-0222,(062)228-8558,www.u-top.co.kr
10,"WONYANG ARCHITECTS & ENGINEERS CO., LTD.","Woori B/D, 20, Teheran-ro 63-gil, Gangnam-gu, Seoul",(02)6441-6703,(02)538-6591,www.wonyang.net
9,"WOOBANG CO., LTD","128, Wondae-ro, Buk-gu, Daegu",(02)2051-1001,(02)2051-1016,www.woobang.co.kr
8,WOOJEONG POSTECH ENGINEERING,"Woojung B/D, 28, Dogok-ro 7-gil, Gangnam-gu, Seoul",(02)523-7800,(02)586-6607,www.woojungart.co.kr
7,"WOOSEOK E&C CO., Ltd","11, Nonhyeon-ro 13-gil, Seocho-gu, Seoul",(02)572-5400,(02)575-5055,
6,WSP (Asia) Ltd. Korea Branch,"11F, Eunsung B/D, 741, Yeongdong-daero, Gangnam-gu, Seoul",(02)545-1931,(02)545-1932,www.wsp.com
5,"YOOIL ARCHITECTS & ENGINEERING CO., LTD.","480, Gwanak-daero, Dongan-gu, Anyang-si, Gyeonggi-do",(02)2149-3316,(02)569-1049,www.yooilena.co.kr
4,YOOSHIN ARCHITECTS & ENGINEERS INC.,"48, Pyeongchon-daero 227beon-gil, Dongan-gu, Anyang-si, Gyeonggi-do",(031)381-2182,(031)381-2184,www.yooshinae.com
3,YOUNGHWA KEYSTONE ARCHITECTURE & ENGINEERING,"6F, Daegwan B/D, 190, Gangnam-daero, Seocho-gu, Seoul",(02)3488-7900,(02)3488-7960,www.yhkeystone.co.kr
2,YOUNGJIN ARCHITEC,"6F, DADA B/D, 38, World Cup buk-ro 5-gil, Mapo-gu, Seoul",(02)325-7984,(02)338-0074,
1,Yulchon LLC.,"518, Teheran-ro, Gangnam-gu, Seoul, Korea",02-528-5212,02-528-5300,www.yulchon.com/
