NO.,코드,가입일,구분,지회,조회Key,회사명,대표자,전화번호,FAX,주소,홈페이지
65,148,2005/22/24,시공,중부,ㅅ,삼성엔지니어링㈜,최성안,(02)3458-3314,(02)3458-4051,(05288)서울특별시 강동구 상일로6길 26 삼성GEC,www.samsungengineering.co.kr
66,124,2004/01/16,용역,중부,ㅅ,㈜삼안,최동식,(02)6488-8128,(02)6488-8139,(13837)경기도 과천시 별양상가3로 5 유니온빌딩,www.samaneng.co.kr
67,11,2002/22/21,용역,중부,ㅅ,㈜삼우씨엠건축사사무소,"정승진, 강인철",(02)3400-3114,(02)3400-3915,(05556)서울특별시 송파구 백제고분로 69 애플타워 (잠실동),www.samoocm.com
68,58,1997/22/27,시공,중부,ㅅ,삼환기업㈜,"김충식, 우연아",(02)740-2210,(02)744-0607,(03131)서울특별시 종로구 율곡로 82 (운니동),www.samwhan.co.kr
69,176,2008/01/16,용역,중부,ㅅ,㈜상아매니지먼트컨설팅,김 유 길,(02)3415-2222,(02)3415-2199,"(06239)서울특별시 강남구 논현로85길 70, 역삼823빌딩 12층",www.sangah.com
70,107,2003/22/24,용역,영남2,ㅅ,㈜상지엔지니어링건축사사무소,김동회,(051)248-3033,(051)242-7687,(48983)부산광역시 중구 자갈치로 42 신동아빌딩 5층,www.sangji21c.co.kr
71,244,2015/03/24,용역,영남2,ㅅ,㈜새누이엔지건축사사무소,김정화,(051)921-2088,(051)818-7414,"(47288) 부산광역시 부산진구 서면로 25, 1101호(부전동, 삼한골든뷰)",www.saenoo.co.kr
72,17,2002/80/07,용역,영남1,ㅅ,㈜서린디앤씨,서주영,(053)742-7585,(053)742-7586,(41904)대구광역시 중구 태평로51길 5(동인동1가),www.seorin.com
73,273,2018/10/23,용역,영남1,ㅅ,㈜서영디앤씨,설연옥,02-831-9944,02-831-9955,"(07362) 서울시 영등포구 신길로42가길 34, 상가동 102호 (신길동 신기목련아파트)",
74,174,2008/11/11,용역,영남1,ㅅ,㈜서영엔지니어링,이언기,(02)6915-7000,(02)6915-7007,(13595)경기도 성남시 분당구 황새울로258번길 25 (수내동),www.seoyeong.co.kr
75,256,2017/02/06,용역,영남1,ㅅ,㈜서울데이타시스템,윤구홍,(02)2649-9345,(02)2643-6105,(07547)서울특별시 강서구 양천로 583 우림블루나인비즈니스센터 A동 910호,www.esds.co.kr
76,208,2010/02/26,용역,영남1,ㅅ,㈜서한종합건축사사무소,오임석,(02)2191-9100,(02)562-4325,(06130)서울특별시 강남구 테헤란로7길 22 한국과학기술회관 본관 7층,www.suhhan.com
77,18,2001/33/30,용역,충청,ㅅ,㈜선엔지니어링종합건축사사무소,신동안,(043)256-4370,(043)257-1314,(28544)충청북도 청주시 상당구 사직대로361번길 91 선빌딩,www.seon.co.kr
78,94,2003/21/14,용역,충청,ㅅ,㈜선진엔지니어링종합건축사사무소,"정종화, 김동수",(02)6333-3000,(02)6332-3000,(07276)서울특별시 영등포구 영등포로3길 19 선진빌딩 (양평동2가),www.sunjin.co.kr
79,292,2023/08/02,용역,영남2,ㅅ,㈜성광엔지니어링건축사사무소,윤중현,070-7706-1196,051-507-7697,"부산광역시 연제구 월드컵대로 241, 4층",
80,106,2003/11/18,시공,영남2,ㅅ,성일건설㈜,황윤성,(02)578-3131,(02)578-0549,(06296)서울특별시 강남구 남부순환로378길 10 성일빌딩,www.sungilcon.co.kr
81,280,2020/01/02,용역,영남2,ㅅ,㈜세니츠코퍼레이션,"김기중, 민주홍",(02)3461-6604,(02)3461-6605,"(08501) 서울특별시 금천구 가산디지털1로 233, 1107호",www.cenitscorp.co.kr
82,252,2016/04/05,용역,중부,ㅅ,㈜세홍,김성찬,1670-1610,(031)522-0591,(17084)경기도 용인시 기흥구 탑실로58번길 16,www.sehong.net
83,230,2012/03/08,용역,중부,ㅅ,㈜수성엔지니어링,"박미례,원상희",(055)262-5200,(055)262-5202,"(51430)경상남도 창원시 의창구 창의대로 510, 403호(용호동, 경남보훈회관)",www.soosungeng.com
84,265,2018/02/13,용역,영남1,ㅅ,㈜수영건축사사무소,김동수,(053)744-2362,(053)744-2364,"(41259)대구광역시 동구 송라로 34, 3층",
85,195,2009/01/13,용역,충청,ㅅ,신성종합건축사사무소㈜,"정현석,권오준",(043)237-8105,(043)237-8107,(28397)충청북도 청주시 흥덕구 2순환로1261번길 40 (가경동),www.shinsungac.com
86,42,2002/11/15,용역,충청,ㅅ,㈜신송컨설팅,이맹례,(02)795-7317,(02)794-1297,(04376)서울특별시 용산구 새창로 213-17,www.green-m.com
87,259,2017/08/25,용역,충청,ㅅ,신웅식 변호사,신웅식,(02)316-4701,(02)756-6226,(04631)서울특별시 중구 퇴계로 100 스테이트타워 남산 8층,www.shinkim.com
88,95,2003/11/14,용역,충청,ㅅ,㈜신한종합건축사사무소,김상훈,(02)405-8114,(02)405-8100,(05824)서울특별시 송파구 중대로 168,www.shinhana.com
89,25,2000/22/26,용역,충청,ㅅ,㈜신화엔지니어링종합건축사사무소,"김인수,송명기",(042)670-3114,(042)670-3113,(34552)대전광역시 동구 동서대로 1659 (용전동),www.shinhwaeng.com
90,298,2024/04/25,용역,충청,ㅅ,씨앤앰글로벌㈜,"김도희, 성호일",02-573-1109,02-6442-5343,(06793)서울특별시 서초구 염곡안3길 5-3,cnmglobal.co.kr
91,295,2023/12/18,용역,충청,ㅅ,㈜씨엠파트너스건축사사무소,박관영,02-6946-8500,02-6946-8550,"서울 성동구 성수이로51, 한라시그마벨리 201호",cmpartners.co.kr
92,283,2021/02/03,용역,충청,ㅅ,씨제이도시개발㈜,유준모,(02)2611-0636,(02)2644-0636,"(08087) 서울특별시 양천구 은행정로6길 22, 2층(신정동, 남부빌딩)",
93,247,2015/06/12,용역,호남,ㅅ,㈜종합건축사사무소선건축,고경임,(064)733-3220,(064)732-7327,"(63100)제주특별자치도 제주시 월랑로 39(노형동, 동마빌딩 8층)",www.suning.co.kr
94,293,2023/11/21,용역,호남,ㅇ,㈜아리씨엠(RECM Corp.),박준석,031-302-1216,,"(16953) 경기도 용인시 기흥구 흥덕2로 115, 7층 707-2호",
95,32,1999/00/08,용역,호남,ㅇ,㈜아이티엠건축사사무소,임재춘,(02)2140-5300,(02)3443-8136,"(06056)서울특별시 강남구 선릉로 747, 4층 (논현동, 삼성당빌딩 4층)",www.itm.co.kr/
96,202,2009/09/09,용역,호남,ㅇ,㈜아이티엠브로스씨엠,김대현,(02)515-8850,(02)3453-8850,(06122)서울특별시 강남구 논현로 614,www.itmbroscm.com
97,224,2011/09/20,용역,중부,ㅇ,㈜아키덤엔지니어링건축사사무소,김지원,(02)508-7323,(02)508-7326,(05854) 서울특별시 송파구 법원로 114 엠스테이트 A동 611호,http://www.archidom.kr
98,305,2026/04/22,용역,중부,ㅇ,㈜아키브,손기헌,1660-3930,,"경기도 하남시 미사강변남로 103, 602-514호(망월동, 미사랑데르Ⅲ)",www.archib.io
99,228,2012/01/11,용역,중부,ㅇ,㈜어반브로스,강인오,(02)548-2491,(02)548-2493,"(07333)서울특별시 영등포구 국제금융로8길 19, 중앙빌딩 1003호",urbanbros.com
100,288,2022/07/01,용역,중부,ㅇ,㈜에스아이그룹건축사사무소,김한섭,02-6238-0701,02-6238-0703,"(06166) 서울시 강남구 삼성로 546, 301,401호 (삼성동,백영빌딩)",si-group.co.kr
101,59,1997/22/27,시공,중부,ㅇ,에스지신성건설㈜,윤상담,(02)3459-2000,(02)3459-2080,"(08389)서울특별시 구로구 디지털로26길 61 10층 (구로동, 에이스하이엔드타워2차)",www.sscorp.co.kr
102,300,2025/02/07,용역,중부,ㅇ,㈜에이비라인건축사사무소,"박래훈, 서영철",02-2021-6800,02-2021-6801,"(04870)서울시 성동구 성수이로7길27, 서울숲코오롱디지털타워2차 501호~503호",http://abline.co.kr/
103,277,2019/01/16,용역,중부,ㅇ,에이앤유씨엠건축사사무소㈜,최홍남,(02)2047-3000,(02)2047-3009,"(05839) 서울시 송파구 충민로 52(문정동, 가든파이브 윅스 4층)",www.anudg.com
104,254,2017/01/02,용역,중부,ㅇ,에이앤티엔지니어링㈜,"송현담, 김미진",(02)598-8808,(02)587-5020,"(06645)서울시 서초구 서초대로 280, 4층 (서초동, 태양빌딩)",
105,269,2018/07/09,용역,중부,ㅇ,㈜에이엠,조유정,(02)2663-7770,(02)2662-4121,(17540)경기도 안성시 대덕면 안성맞춤대로 1654 B02호,www.amgroup.kr
106,67,1997/22/27,시공,중부,ㅇ,에이치디씨현대산업개발㈜,"김대철, 권순호",(02)2008-9102,(02)565-4980,(04377)서울특별시 용산구 한강대로23길 55,www.hyundai-dvp.com
107,267,2018/04/11,용역,중부,ㅇ,㈜에이치앤씨건설연구소,조승연,(02)461-4400,(02)461-4419,(04779)서울특별시 성동구 성수일로55 SK테크노빌딩 901호,www.hnckorea.co.kr
108,102,2003/11/19,용역,중부,ㅇ,㈜에이치케이건축사사무소,서진철,(070)5213-6048,(02)3481-8350,"(13840)경기도 과천시 과천대로7나길 9, 9~11층(갈현동, DX타워)",www.hwarchi.com
109,217,2010/12/14,용역,중부,ㅇ,㈜에이케이네트워크,최영보,(02)2179-5036,(02)2179-5092,(06627)서울특별시 서초구 서초2동 1337-32 광일빌딩 17층,
110,173,2008/00/09,용역,중부,ㅇ,㈜엠에이피건축그룹,한일호,(02)520-9300,(02)520-9390,(06755)서울특별시 서초구 바우뫼로18길 19,www.mapgroup.co.kr
111,142,2005/00/09,용역,중부,ㅇ,㈜영진아키택,김영진,(02)325-7984,(02)338-0074,(04002)서울특별시 마포구 월드컵북로5길 38 다다빌딩 5층,
112,5,2003/22/23,용역,중부,ㅇ,㈜영화키스톤건축사사무소,김주열,(02)3488-7900,(02)3488-7960,(06744)서울특별시 서초구 강남대로 190 대관빌딩 6층,www.yhkeystone.co.kr
113,294,2023/12/15,용역,중부,ㅇ,㈜오푸스펄구조기술사사무소,이인영,02-3485-0900,02-3485-0991,"(05836) 서울특별시 송파구 법원로11길11, B동 1311호",iopus.co.kr
114,62,1997/22/27,시공,중부,ㅇ,㈜우방,송동근,(02)2051-1001,(02)2051-1016,"(41590)대구광역시 북구 원대로 128 (침산동, 연우빌딩)",www.woobang.co.kr
115,251,2016/04/05,용역,중부,ㅇ,㈜우석이엔씨,조학용,(02)572-5400,(02)575-5055,"(06784) 서울특별시 서초구 강남대로6길 133-19, 302호(양재동, 신성빌딩)",www.woo-seok.com
116,221,2011/02/15,용역,중부,ㅇ,㈜유선엔지니어링건축사사무소,조영돈,(02)3147-3000,(02)3147-3049,"(06153)서울특별시 강남구 봉은사로 422, 302(삼성동,원경빌딩)",www.usun.co.kr
117,83,2000/11/15,용역,중부,ㅇ,㈜유신건축종합건축사사무소,"김지덕,남정수",(031)381-2182,(031)381-2184,(14072)경기도 안양시 동안구 평촌대로227번길 48 승리빌딩,www.yooshinae.com
118,72,1999/00/07,용역,중부,ㅇ,㈜유일엔지니어링종합건축사무소,김환성,(02)2149-3316,(02)569-1049,"(13951)경기도 안양시 동안구 관악대로 480 8층(관양동, 우정타운)",www.yooilena.co.kr
119,91,2003/11/13,용역,호남,ㅇ,㈜유탑엔지니어링건축사사무소,김정식,(062)530-8756,(062)530-8799,"(58118)전라남도 화순군 화순읍 자치샘로 48, 미래타워 310호",www.u-top.co.kr
120,278,2019/04/23,용역,영남1,ㅇ,㈜이가에이씨엠건축사사무소,"조헌석, 최지용",(02)6717-6000,(02)6717-6400,"(38675) 경상북도 경산시 경산로 44길 10, 3층",www.egaacm.com/main.php
121,143,2005/11/10,용역,영남1,ㅇ,㈜이가종합건축사사무소,은동신,(02)3446-8885,(02)3446-8836,(06177)서울특별시 강남구 영동대로 316 새마을운동중앙회빌딩 2층,www.archiega.co.kr
122,8,2003/12/24,용역,중부,ㅇ,㈜이산,이원찬,(031)389-0114,(031)382-6069,(14066)경기도 안양시 동안구 부림로 121 동아프라자,www.isg.kr
123,86,2000/11/12,용역,영남2,ㅇ,㈜일신설계종합건축사사무소,박치권,(051)462-4711,(051)462-4738,(48729)부산광역시 동구 중앙대로320번길 3-2 일신빌딩,www.ilshinarch.co.kr
124,184,2008/05/30,용역,영남2,ㅇ,㈜일우엔지니어링건축사사무소,안길전,(062)233-7151,(062)233-7153,(61637)광주광역시 남구 서오층석탑1길 7-1,
125,302,2025/06/12,용역,영남2,ㅇ,㈜종합건축사사무소에이에이,박희욱,02-561-9440,02-561-9465,"서울시 서초구 서초대로350, 403호",www.aa-architecture.com
126,137,2005/00/03,용역,영남2,ㅇ,㈜AA아키그룹건축사사무소,이영철,(02)746-6500,(02)746-6600,(03058)서울특별시 종로구 율곡로 75 현대건설빌딩 4층,www.hda.co.kr
127,37,1997/22/27,시공,영남2,ㅇ,SK에코플랜트㈜,"안재현, 임영문",(02)3700-9120,(02)3700-8360,(03149)서울특별시 종로구 인사동7길 32 관훈빌딩,www.skec.co.kr
128,47,2001/62/29,용역,영남2,ㅈ,㈜전인씨엠건축사사무소,"한상규, 한준오, 안명제",(02)552-0025,(02)552-9393,"(05559)서울특별시 송파구 백제고분로17길 54(잠실동, 전인빌딩)",jeonincm.com
129,101,2003/21/17,용역,영남2,ㅈ,㈜정림씨엠건축사사무소,방명세,(02)708-8649,(02)2039-6421,"(07305)서울특별시 영등포구 영중로 15, 오피스 에이동 제업무시설-1호 12층",www.junglim.com
130,260,2017/10/16,시공,중부,ㅈ,정운건설씨앤씨㈜,"천상범,조경오",(031)855-2016,(031)855-2019,"(11693)경기도 의정부시 태평로108번길 30, 3층(의정부동)",
131,193,2009/01/09,용역,중부,ㅈ,㈜제이케이씨엠,백종건,(02)584-4531,(02)584-4533,(06628)서울특별시 서초구 강남대로 309 코리아비지니스센타 2007호,www.jkcm.co.kr
132,291,2022/11/01,용역,중부,ㅈ,㈜제이티엠종합건축사사무소,이준무,(02)6243-0330,(02)6013-0330,"(06172) 서울특별시 강남구 봉은사로112길 23, 삼성빌딩 3층",www.jtmarchi.com
133,191,2008/10/13,용역,호남,ㅈ,㈜제인종합건축사사무소,양택훈,(064)725-2231,(064)725-2230,(63185)제주특별자치도 제주시 서사로 152,
134,213,2010/08/11,용역,호남,ㅈ,지산엔지니어링,한주식,(031)280-6067,(031)280-6099,(16972)경기도 용인시 기흥구 관곡로64번길 18,www.jisaneng.co.kr
135,272,2018/10/08,용역,호남,ㅈ,㈜지코피앤씨,유지민,02-552-0996,02-3431-0997,"(05612)서울특별시 송파구 삼학사로 100, 4층(석촌동, 그랜드빌딩)",www.zicopnc.com/
136,296,2024/01/19,용역,호남,ㅊ,㈜창성씨앤디,이선우,02-6265-1011,02-6265-1012,"(07271)서울특별시 영등포구 양산로57-5, 607호(양평동3가)",www.changsungcnd.com
